3.8	4	2	1
3	3	2.5	2.75
1.8	2.8	3.5	3.375
1.4	1	2.75	2.75
1.8	2.2	2	2
1.6	1.6	2.75	1.875
3	3.8	1.25	2.25
2.6	2.2	2	2
1	2.8	1	2.625
2.2	2	1	1.75
2.4	2.4	2.25	2
2.6	3	2	1.5
2.8	2.4	1.75	1.5
3.6	1.6	2.25	3.125
1.8	1.8	2.5	2.75
2.2	2.4	3	2.25
2.2	1.8	2	2
1.8	2.4	2	2
1.6	2.4	2.25	2.875
2.2	3	1	2.25
3.8	2.6	1.75	1.875
4.2	3	1.25	1.71428571428571
1.6	2	3.5	2.625
1.4	2.4	2	2
2.6	2	2	3
.	3	.	.
2.2	2	2.75	2
1.8	2	2.25	1.5
2.8	2.8	3	2.75
2	3.6	1.25	1
3.8	4	2.75	1
2.4	2.6	2.5	2
3.4	4	1.66666666666667	1.125
4.8	4	4	1
2.4	2.2	2.5	2.875
2.8	3	1	2.25
1.8	3	2.25	3.625
.	.	.	.
1.6	2.4	2.5	2.125
1	4	2	1.5
1	2	3	2
3.2	3.4	1.75	2.25
2.4	2	1.75	2.25
2.4	3	4	2.125
2.6	3	2.25	2
1.4	2.6	3	2.25
2.8	3	4	2.28571428571429
3	3.4	4	1.375
2	3.4	1.75	1.5
2.6	2.8	2.25	1.66666666666667
1.8	1.6	3.75	2.28571428571429
2.6	3.4	1.75	1.75
2.8	3.2	1.25	1.125
2.4	2.8	2.75	3
3.2	3	2.66666666666667	2.25
1	2.6	2	2.375
3.2	3	1	2.625
4	2.8	2.5	3
3	3	2	2.625
3	4	3.66666666666667	1
2.4	3	3	2.875
2.8	2.6	3	1.5
3	3	2.75	2.125
2.6	4	2	1.75
3	2	2.75	2
2.2	2.4	4	2
3.4	4	2.5	2
3.2	3	2.5	1.875
3.4	3.75	1.25	2.14285714285714
2	2	2.5	2.25
.	.	.	.
3.4	3.8	1	1.25
2.8	4	2	2
.	.	.	.
2	3	1	1.75
2.6	3	2	2
3.5	2.8	2	3.28571428571429
2.2	3	2	2
1	2.6	1.5	1.85714285714286
3	3	1.75	1.5
2.2	1	3.25	1.25
3.8	3.6	4	2
2	3	3	2
3	3	2	2
3.4	3	1	1.25
2	3	1	2
1	2.2	2.5	2.28571428571429
1	1.2	1	3.5
2.4	3.6	2	1.875
1	2	3	3
1	1	4	4
2.6	2.2	2	1.875
.	.	.	.
4	3	2.25	1
.	2.4	.	.
3.8	3.6	1	1
2.8	4	1	2
3	4	1	1
3	3	2	1.875
3	2.6	2	2
.	.	.	.
2.8	3	2	3.125
2.6	2.8	2	2
4	3.4	3	2
2	2.6	1.75	2.625
3.2	3	1	1
