     3.800     4.000     2.000     1.000     0.000     0.756     0.000     0.089     0.154     2.000
     3.000     3.000     2.500     2.750     0.000     0.572     0.000     0.428     0.000     2.000
     1.800     2.800     3.500     3.375     0.000     0.397     0.557     0.046     0.000     3.000
     1.400     1.000     2.750     2.750     0.000     0.913     0.000     0.087     0.000     2.000
     1.800     2.200     2.000     2.000     0.000     0.617     0.000     0.382     0.000     2.000
     1.600     1.600     2.750     1.875     0.901     0.089     0.000     0.009     0.000     1.000
     3.000     3.800     1.250     2.250     0.000     0.318     0.000     0.682     0.000     4.000
     2.600     2.200     2.000     2.000     0.092     0.504     0.000     0.404     0.000     2.000
     1.000     2.800     1.000     2.625     0.000     0.000     0.000     1.000     0.000     4.000
     2.200     2.000     1.000     1.750     0.000     0.045     0.000     0.955     0.000     4.000
     2.400     2.400     2.250     2.000     0.000     0.763     0.000     0.237     0.000     2.000
     2.600     3.000     2.000     1.500     0.000     0.732     0.000     0.267     0.001     2.000
     2.800     2.400     1.750     1.500     0.000     0.588     0.000     0.412     0.000     2.000
     3.600     1.600     2.250     3.125     0.000     0.000     0.008     0.991     0.000     4.000
     1.800     1.800     2.500     2.750     0.000     0.603     0.309     0.088     0.001     2.000
     2.200     2.400     3.000     2.250     0.000     0.873     0.003     0.106     0.019     2.000
     2.200     1.800     2.000     2.000     0.000     0.443     0.028     0.528     0.000     4.000
     1.800     2.400     2.000     2.000     0.000     0.584     0.000     0.416     0.000     2.000
     1.600     2.400     2.250     2.875     0.000     0.676     0.050     0.272     0.002     2.000
     2.200     3.000     1.000     2.250     0.000     0.056     0.000     0.944     0.000     4.000
     3.800     2.600     1.750     1.875     0.000     0.186     0.000     0.814     0.000     4.000
     4.200     3.000     1.250     1.714     0.000     0.457     0.000     0.543     0.000     4.000
     1.600     2.000     3.500     2.625     0.000     0.951     0.000     0.014     0.036     2.000
     1.400     2.400     2.000     2.000     0.000     0.355     0.000     0.644     0.001     4.000
     2.600     2.000     2.000     3.000     0.000     0.193     0.147     0.660     0.000     4.000
         *     3.000         *         *     0.001     0.492     0.006     0.457     0.044     2.000
     2.200     2.000     2.750     2.000     0.000     0.835     0.009     0.156     0.000     2.000
     1.800     2.000     2.250     1.500     0.000     0.711     0.000     0.289     0.000     2.000
     2.800     2.800     3.000     2.750     0.000     0.631     0.011     0.352     0.006     2.000
     2.000     3.600     1.250     1.000     0.000     0.009     0.000     0.987     0.003     4.000
     3.800     4.000     2.750     1.000     0.000     0.015     0.000     0.019     0.966     5.000
     2.400     2.600     2.500     2.000     0.000     0.812     0.000     0.185     0.003     2.000
     3.400     4.000     1.667     1.125     0.000     0.807     0.000     0.157     0.036     2.000
     4.800     4.000     4.000     1.000     0.000     0.000     0.000     0.000     1.000     5.000
     2.400     2.200     2.500     2.875     0.000     0.609     0.160     0.228     0.003     2.000
     2.800     3.000     1.000     2.250     0.000     0.257     0.000     0.743     0.000     4.000
     1.800     3.000     2.250     3.625     0.000     0.264     0.038     0.697     0.000     4.000
     1.600     2.400     2.500     2.125     0.000     0.800     0.000     0.194     0.005     2.000
     1.000     4.000     2.000     1.500     0.000     0.000     0.000     1.000     0.000     4.000
     1.000     2.000     3.000     2.000     0.000     0.943     0.000     0.057     0.000     2.000
     3.200     3.400     1.750     2.250     0.000     0.660     0.000     0.340     0.000     2.000
     2.400     2.000     1.750     2.250     0.000     0.328     0.002     0.670     0.000     4.000
     2.400     3.000     4.000     2.125     0.000     0.007     0.000     0.011     0.982     5.000
     2.600     3.000     2.250     2.000     0.000     0.727     0.000     0.260     0.013     2.000
     1.400     2.600     3.000     2.250     0.000     0.673     0.000     0.139     0.188     2.000
     2.800     3.000     4.000     2.286     0.000     0.006     0.001     0.022     0.971     5.000
     3.000     3.400     4.000     1.375     0.000     0.000     0.000     0.004     0.996     5.000
     2.000     3.400     1.750     1.500     0.000     0.074     0.000     0.904     0.022     4.000
     2.600     2.800     2.250     1.667     0.000     0.779     0.000     0.220     0.001     2.000
     1.800     1.600     3.750     2.286     0.000     0.971     0.000     0.029     0.000     2.000
     2.600     3.400     1.750     1.750     0.000     0.499     0.000     0.495     0.006     2.000
     2.800     3.200     1.250     1.125     0.000     0.662     0.000     0.338     0.000     2.000
     2.400     2.800     2.750     3.000     0.000     0.752     0.014     0.234     0.000     2.000
     3.200     3.000     2.667     2.250     0.000     0.555     0.000     0.415     0.031     2.000
     1.000     2.600     2.000     2.375     0.000     0.067     0.000     0.916     0.017     4.000
     3.200     3.000     1.000     2.625     0.000     0.210     0.000     0.790     0.000     4.000
     4.000     2.800     2.500     3.000     0.000     0.012     0.000     0.988     0.000     4.000
     3.000     3.000     2.000     2.625     0.000     0.572     0.000     0.428     0.000     2.000
     3.000     4.000     3.667     1.000     0.000     0.000     0.000     0.001     0.999     5.000
     2.400     3.000     3.000     2.875     0.000     0.712     0.005     0.282     0.000     2.000
     2.800     2.600     3.000     1.500     0.000     0.681     0.000     0.319     0.000     2.000
     3.000     3.000     2.750     2.125     0.000     0.611     0.000     0.311     0.078     2.000
     2.600     4.000     2.000     1.750     0.000     0.102     0.000     0.898     0.000     4.000
     3.000     2.000     2.750     2.000     0.000     0.210     0.084     0.706     0.000     4.000
     2.200     2.400     4.000     2.000     0.000     0.641     0.000     0.169     0.189     2.000
     3.400     4.000     2.500     2.000     0.000     0.370     0.000     0.630     0.000     4.000
     3.200     3.000     2.500     1.875     0.000     0.668     0.000     0.312     0.020     2.000
     3.400     3.750     1.250     2.143     0.000     0.663     0.000     0.337     0.000     2.000
     2.000     2.000     2.500     2.250     0.522     0.395     0.012     0.071     0.000     1.000
     3.400     3.800     1.000     1.250     0.000     0.879     0.000     0.120     0.000     2.000
     2.800     4.000     2.000     2.000     0.000     0.188     0.000     0.812     0.000     4.000
     2.000     3.000     1.000     1.750     0.000     0.034     0.000     0.966     0.000     4.000
     2.600     3.000     2.000     2.000     0.000     0.693     0.000     0.303     0.005     2.000
     3.500     2.800     2.000     3.286     0.000     0.084     0.000     0.916     0.000     4.000
     2.200     3.000     2.000     2.000     0.000     0.524     0.000     0.466     0.010     2.000
     1.000     2.600     1.500     1.857     0.000     0.005     0.000     0.994     0.001     4.000
     3.000     3.000     1.750     1.500     0.000     0.787     0.000     0.213     0.000     2.000
     2.200     1.000     3.250     1.250     0.998     0.000     0.000     0.001     0.000     1.000
     3.800     3.600     4.000     2.000     0.000     0.000     0.000     0.032     0.968     5.000
     2.000     3.000     3.000     2.000     0.000     0.421     0.000     0.212     0.366     2.000
     3.000     3.000     2.000     2.000     0.000     0.731     0.000     0.266     0.002     2.000
     3.400     3.000     1.000     1.250     0.000     0.780     0.000     0.220     0.000     2.000
