     3.800     4.000     2.000     1.000     0.912     0.088     1.000
     3.000     3.000     2.500     2.750     0.878     0.122     1.000
     1.800     2.800     3.500     3.375     0.110     0.890     2.000
     1.400     1.000     2.750     2.750     0.119     0.881     2.000
     1.800     2.200     2.000     2.000     0.771     0.229     1.000
     1.600     1.600     2.750     1.875     0.372     0.628     2.000
     3.000     3.800     1.250     2.250     0.913     0.087     1.000
     2.600     2.200     2.000     2.000     0.790     0.210     1.000
     1.000     2.800     1.000     2.625     0.085     0.915     2.000
     2.200     2.000     1.000     1.750     0.222     0.778     2.000
     2.400     2.400     2.250     2.000     0.874     0.126     1.000
     2.600     3.000     2.000     1.500     0.928     0.072     1.000
     2.800     2.400     1.750     1.500     0.791     0.209     1.000
     3.600     1.600     2.250     3.125     0.019     0.981     2.000
     1.800     1.800     2.500     2.750     0.658     0.342     1.000
     2.200     2.400     3.000     2.250     0.740     0.260     1.000
     2.200     1.800     2.000     2.000     0.526     0.474     1.000
     1.800     2.400     2.000     2.000     0.817     0.183     1.000
     1.600     2.400     2.250     2.875     0.727     0.273     1.000
     2.200     3.000     1.000     2.250     0.787     0.213     1.000
     3.800     2.600     1.750     1.875     0.631     0.369     1.000
     4.200     3.000     1.250     1.714     0.647     0.353     1.000
     1.600     2.000     3.500     2.625     0.345     0.655     2.000
     1.400     2.400     2.000     2.000     0.676     0.324     1.000
     2.600     2.000     2.000     3.000     0.631     0.369     1.000
         *     3.000         *         *     0.793     0.207     1.000
     2.200     2.000     2.750     2.000     0.677     0.323     1.000
     1.800     2.000     2.250     1.500     0.595     0.405     1.000
     2.800     2.800     3.000     2.750     0.748     0.252     1.000
     2.000     3.600     1.250     1.000     0.679     0.321     1.000
     3.800     4.000     2.750     1.000     0.539     0.461     1.000
     2.400     2.600     2.500     2.000     0.881     0.119     1.000
     3.400     4.000     1.667     1.125     0.942     0.058     1.000
     4.800     4.000     4.000     1.000     0.000     1.000     2.000
     2.400     2.200     2.500     2.875     0.807     0.193     1.000
     2.800     3.000     1.000     2.250     0.870     0.130     1.000
     1.800     3.000     2.250     3.625     0.351     0.649     2.000
     1.600     2.400     2.500     2.125     0.738     0.262     1.000
     1.000     4.000     2.000     1.500     0.002     0.998     2.000
     1.000     2.000     3.000     2.000     0.275     0.725     2.000
     3.200     3.400     1.750     2.250     0.949     0.051     1.000
     2.400     2.000     1.750     2.250     0.643     0.357     1.000
     2.400     3.000     4.000     2.125     0.036     0.964     2.000
     2.600     3.000     2.250     2.000     0.924     0.076     1.000
     1.400     2.600     3.000     2.250     0.396     0.604     2.000
     2.800     3.000     4.000     2.286     0.050     0.950     2.000
     3.000     3.400     4.000     1.375     0.012     0.988     2.000
     2.000     3.400     1.750     1.500     0.787     0.213     1.000
     2.600     2.800     2.250     1.667     0.912     0.088     1.000
     1.800     1.600     3.750     2.286     0.139     0.861     2.000
     2.600     3.400     1.750     1.750     0.933     0.067     1.000
     2.800     3.200     1.250     1.125     0.925     0.075     1.000
     2.400     2.800     2.750     3.000     0.777     0.223     1.000
     3.200     3.000     2.667     2.250     0.867     0.133     1.000
     1.000     2.600     2.000     2.375     0.351     0.649     2.000
     3.200     3.000     1.000     2.625     0.815     0.185     1.000
     4.000     2.800     2.500     3.000     0.511     0.489     1.000
     3.000     3.000     2.000     2.625     0.925     0.075     1.000
     3.000     4.000     3.667     1.000     0.007     0.993     2.000
     2.400     3.000     3.000     2.875     0.623     0.377     1.000
     2.800     2.600     3.000     1.500     0.658     0.342     1.000
     3.000     3.000     2.750     2.125     0.856     0.144     1.000
     2.600     4.000     2.000     1.750     0.715     0.285     1.000
     3.000     2.000     2.750     2.000     0.452     0.548     2.000
     2.200     2.400     4.000     2.000     0.077     0.923     2.000
     3.400     4.000     2.500     2.000     0.732     0.268     1.000
     3.200     3.000     2.500     1.875     0.897     0.103     1.000
