     3.800     4.000     2.000     1.000     0.000     0.000     0.018     0.982     4.000
     3.000     3.000     2.500     2.750     0.000     0.001     0.001     0.998     4.000
     1.800     2.800     3.500     3.375     0.000     0.021     0.047     0.932     4.000
     1.400     1.000     2.750     2.750     0.234     0.678     0.000     0.089     2.000
     1.800     2.200     2.000     2.000     0.020     0.049     0.000     0.931     4.000
     1.600     1.600     2.750     1.875     0.024     0.716     0.000     0.260     2.000
     3.000     3.800     1.250     2.250     0.000     0.000     0.000     1.000     4.000
     2.600     2.200     2.000     2.000     0.028     0.026     0.000     0.947     4.000
     1.000     2.800     1.000     2.625     0.006     0.001     0.000     0.993     4.000
     2.200     2.000     1.000     1.750     0.792     0.003     0.000     0.206     1.000
     2.400     2.400     2.250     2.000     0.003     0.026     0.000     0.971     4.000
     2.600     3.000     2.000     1.500     0.000     0.003     0.000     0.996     4.000
     2.800     2.400     1.750     1.500     0.027     0.013     0.000     0.960     4.000
     3.600     1.600     2.250     3.125     0.308     0.022     0.000     0.670     4.000
     1.800     1.800     2.500     2.750     0.027     0.168     0.000     0.805     4.000
     2.200     2.400     3.000     2.250     0.000     0.097     0.003     0.899     4.000
     2.200     1.800     2.000     2.000     0.246     0.097     0.000     0.656     4.000
     1.800     2.400     2.000     2.000     0.005     0.025     0.000     0.969     4.000
     1.600     2.400     2.250     2.875     0.001     0.015     0.000     0.983     4.000
     2.200     3.000     1.000     2.250     0.003     0.000     0.000     0.997     4.000
     3.800     2.600     1.750     1.875     0.008     0.002     0.000     0.990     4.000
     4.200     3.000     1.250     1.714     0.004     0.000     0.000     0.996     4.000
     1.600     2.000     3.500     2.625     0.000     0.540     0.005     0.455     2.000
     1.400     2.400     2.000     2.000     0.005     0.035     0.000     0.960     4.000
     2.600     2.000     2.000     3.000     0.052     0.013     0.000     0.935     4.000
         *     3.000         *         *     0.001     0.003     0.035     0.960     4.000
     2.200     2.000     2.750     2.000     0.005     0.262     0.000     0.732     4.000
     1.800     2.000     2.250     1.500     0.036     0.249     0.000     0.715     4.000
     2.800     2.800     3.000     2.750     0.000     0.008     0.008     0.983     4.000
     2.000     3.600     1.250     1.000     0.000     0.000     0.000     1.000     4.000
